anio	departamento	letra_desc	caes_1	puestos
2014	Paraná	INDUSTRIA MANUFACTURERA	MANUF	8289
2014	Paraná	INFORMACIÓN Y COMUNICACIONES	SERVEMP	1375
2014	Paraná	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	2241
2014	Paraná	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	2776
2014	Paraná	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	741
2014	Paraná	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	1117
2014	Paraná	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	2949
2014	Paraná	SERVICIOS INMOBILIARIOS	SERVEMP	974
2014	Paraná	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	1021
2014	Paraná	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	98
2014	Paraná	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	470
2014	San Salvador	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	35
2014	San Salvador	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	1292
2014	San Salvador	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	530
2014	San Salvador	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	240
2014	San Salvador	CONSTRUCCIÓN	CONST	200
2014	San Salvador	ENSEÑANZA	ENSESALUD	69
2014	San Salvador	EXPLOTACION DE MINAS Y CANTERAS	PRIM	-99
2014	San Salvador	INDUSTRIA MANUFACTURERA	MANUF	480
2014	San Salvador	INFORMACIÓN Y COMUNICACIONES	SERVEMP	25
2014	San Salvador	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	57
2014	San Salvador	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	102
2014	San Salvador	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	-73
2014	San Salvador	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	20
2014	San Salvador	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	22
2014	San Salvador	SERVICIOS INMOBILIARIOS	SERVEMP	35
2014	San Salvador	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	41
2014	San Salvador	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	6
2014	San Salvador	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	11
2014	Tala	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	52
2014	Tala	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	2852
2014	Tala	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	495
2014	Tala	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	385
2014	Tala	CONSTRUCCIÓN	CONST	129
2014	Tala	ENSEÑANZA	ENSESALUD	107
2014	Tala	EXPLOTACION DE MINAS Y CANTERAS	PRIM	7
2014	Tala	INDUSTRIA MANUFACTURERA	MANUF	286
2014	Tala	INFORMACIÓN Y COMUNICACIONES	SERVEMP	40
2014	Tala	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	49
2014	Tala	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	75
2014	Tala	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	5
2014	Tala	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	29
2014	Tala	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	137
2014	Tala	SERVICIOS INMOBILIARIOS	SERVEMP	36
2014	Tala	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	41
2014	Tala	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	15
2014	Tala	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	22
2014	Uruguay	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	384
2014	Uruguay	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	9059
2014	Uruguay	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	622
2014	Uruguay	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	2351
2014	Uruguay	CONSTRUCCIÓN	CONST	1119
2014	Uruguay	ENSEÑANZA	ENSESALUD	2715
2014	Uruguay	EXPLOTACION DE MINAS Y CANTERAS	PRIM	79
2014	Uruguay	INDUSTRIA MANUFACTURERA	MANUF	3656
2014	Uruguay	INFORMACIÓN Y COMUNICACIONES	SERVEMP	299
2014	Uruguay	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	579
