depto	COMHOTREST	CONST	ENSESALUD	MANUF	PRIM	SERVEMP	SOCADMIN	anio
La Paz	0.9480451	1.2488668	1.1442215	0.8385663	2.6310741	0.778404	1.3313765	2021
Nogoyá	1.046526	0.4611706	1.0882146	1.0148674	1.3465858	0.8256538	0.9918194	2021
Paraná	1.1533181	1.1124906	1.2991133	0.9253633	0.3490374	1.2846824	1.2185795	2021
San Salvador	0.5884842	0.925426	0.2813315	1.1825472	1.0232982	0.7679462	0.6624065	2021
Tala	1.047994	0.8661788	0.5496838	0.7049312	2.2176092	1.0422341	2.0341604	2021
Uruguay	0.7493412	0.851324	1.1997578	1.1563969	0.4148802	0.9504515	0.6388885	2021
Victoria	1.3694091	0.2865645	0.8753558	0.8795547	1.1791119	0.854162	1.563024	2021
Villaguay	1.335064	1.8046398	0.8614439	0.7408647	2.201891	1.0335293	1.4697212	2021
Colón	0.7165999	0.2566212	0.2666091	1.2716168	0.7322539	0.5798167	0.5160603	2022
Concordia	1.1638178	1.6078509	0.9699589	0.8650061	1.8458491	1.1781286	1.0060797	2022
Diamante	0.8594919	0.6562913	1.281878	1.0956398	0.79539	0.7032916	0.9489889	2022
Federación	1.1390593	0.4700749	0.7984044	1.0714333	1.5535108	0.6369546	0.7841101	2022
Federal	1.2274979	1.9974323	0.8981387	0.3554251	4.5075853	1.0164946	2.6680874	2022
Feliciano	1.092476	2.3812756	1.5126659	0.5002045	3.2762383	0.9791395	2.3153137	2022
Gualeguay	0.7938704	0.9306165	0.5944496	1.1416027	1.1686218	0.6331577	0.7339191	2022
Gualeguaychú	0.9393289	0.745096	0.8973648	1.069078	0.8012685	1.046438	0.7904292	2022
La Paz	0.9405407	1.2573236	1.1576999	0.8327416	2.7504124	0.8142998	1.3335955	2022
Nogoyá	1.0047151	0.4769069	1.1081716	1.0200914	1.4357904	0.790252	1.000449	2022
Paraná	1.1406946	1.172238	1.2909407	0.9246835	0.3641614	1.2733191	1.2143001	2022
San Salvador	0.5930409	1.0018751	0.2966657	1.1418424	1.5312849	0.7530459	0.6686163	2022
Tala	1.027895	1.221262	0.5537	0.691978	2.303576	1.072093	2.050614	2022
Uruguay	0.7180662	0.8282054	1.170547	1.162229	0.4108677	0.942885	0.6262096	2022
Victoria	1.3864068	0.9402895	0.8986553	0.8467618	1.2158281	0.8673904	1.5876614	2022
Villaguay	1.3061361	1.8534284	0.8746331	0.7257877	2.3610939	1.0511086	1.5059195	2022
