year	depto	letra	puestos
2018	Federal	A	719
2018	Federal	B	0
2018	Federal	C	75
2018	Federal	D	4
2018	Federal	E	0
2018	Federal	F	187
2018	Federal	G	418
2018	Federal	H	71
2018	Federal	I	28
2018	Federal	J	10
2018	Federal	K	43
2018	Federal	L	19
2018	Federal	M	29
2018	Federal	N	35
2018	Federal	Otro	13
2018	Federal	P	185
2018	Federal	Q	43
2018	Federal	R	11
2018	Federal	S	75
2018	Feliciano	A	379
2018	Feliciano	B	0
2018	Feliciano	C	36
2018	Feliciano	D	4
2018	Feliciano	E	8
2018	Feliciano	F	55
2018	Feliciano	G	173
2018	Feliciano	H	23
2018	Feliciano	I	34
2018	Feliciano	J	5
2018	Feliciano	K	29
2018	Feliciano	L	11
2018	Feliciano	M	12
2018	Feliciano	N	17
2018	Feliciano	Otro	3
2018	Feliciano	P	102
2018	Feliciano	Q	12
2018	Feliciano	R	4
2018	Feliciano	S	13
2018	Gualeguay	A	975
2018	Gualeguay	B	4
2018	Gualeguay	C	1651
2018	Gualeguay	D	34
2018	Gualeguay	E	45
2018	Gualeguay	F	485
2018	Gualeguay	G	1098
2018	Gualeguay	H	297
2018	Gualeguay	I	100
2018	Gualeguay	J	93
2018	Gualeguay	K	130
2018	Gualeguay	L	52
2018	Gualeguay	M	124
2018	Gualeguay	N	98
2018	Gualeguay	Otro	15
2018	Gualeguay	P	506
2018	Gualeguay	Q	177
2018	Gualeguay	R	25
2018	Gualeguay	S	134
2018	Gualeguaychú	A	1400
2018	Gualeguaychú	B	49
2018	Gualeguaychú	C	3359
2018	Gualeguaychú	D	152
2018	Gualeguaychú	E	41
2018	Gualeguaychú	F	750
2018	Gualeguaychú	G	2849
2018	Gualeguaychú	H	985
2018	Gualeguaychú	I	529
2018	Gualeguaychú	J	298
2018	Gualeguaychú	K	437
2018	Gualeguaychú	L	142
2018	Gualeguaychú	M	299
2018	Gualeguaychú	N	504
2018	Gualeguaychú	Otro	37
2018	Gualeguaychú	P	1758
2018	Gualeguaychú	Q	486
2018	Gualeguaychú	R	184
2018	Gualeguaychú	S	542
2018	Islas del Ibicuy	A	77
2018	Islas del Ibicuy	B	36
2018	Islas del Ibicuy	C	166
2018	Islas del Ibicuy	D	6
2018	Islas del Ibicuy	E	10
2018	Islas del Ibicuy	F	40
2018	Islas del Ibicuy	G	39
2018	Islas del Ibicuy	H	180
2018	Islas del Ibicuy	I	3
2018	Islas del Ibicuy	J	4
2018	Islas del Ibicuy	K	10
2018	Islas del Ibicuy	L	6
2018	Islas del Ibicuy	M	5
2018	Islas del Ibicuy	N	31
2018	Islas del Ibicuy	Otro	0
2018	Islas del Ibicuy	P	65
2018	Islas del Ibicuy	Q	4
2018	Islas del Ibicuy	R	12
