year	depto	letra	clae2_desc	puestos
2014	Federación	F	Actividades especializadas de construcción 	26
2014	Federación	F	Construcción de edificios y partes	163
2014	Federación	F	Obras de ingeniería civil	179
2014	Federación	G	Comercio al por mayor excepto autos y motos	772
2014	Federación	G	Comercio al por mayor y al por menor y reparación de vehículos automotores y motos	157
2014	Federación	G	Comercio al por menor excepto autos y motos	745
2014	Federación	H	Almacenamiento y actividades de apoyo al transporte	11
2014	Federación	H	Servicio de correo y mensajería	18
2014	Federación	H	Transporte acuático	3
2014	Federación	H	Transporte aéreo	NA
2014	Federación	H	Transporte terrestre y por tuberías	248
2014	Federación	I	Servicios de alojamiento	249
2014	Federación	I	Servicios de expendio de alimentos y bebidas	152
2014	Federación	J	Actividades de procesamiento de información	NA
2014	Federación	J	Edición	NA
2014	Federación	J	Programación y transmisiones de TV y radio	51
2014	Federación	J	Servicios audiovisuales	NA
2014	Federación	J	Servicios de programación, consultoría informática y actividades conexas	14
2014	Federación	J	Telecomunicaciones	26
2014	Federación	K	Servicios auxiliares de la actividad financiera y de seguros	8
2014	Federación	K	Servicios de seguros, reaseguros y pensiones	36
2014	Federación	K	Servicios financieros (excepto seguros y pensiones)	98
2014	Federación	L	Servicios inmobiliarios	103
2014	Federación	M	Investigación y desarrollo científico	NA
2014	Federación	M	Otras actividades profesionales, científicas y técnicas	3
2014	Federación	M	Servicios de arquitectura e ingeniería	28
2014	Federación	M	Servicios de publicidad e investigación de mercado	5
2014	Federación	M	Servicios jurídicos y de contabilidad	96
2014	Federación	M	Servicios veterinarios	NA
2014	Federación	M	Servicios y asesoramiento de dirección y gestión empresarial	27
2014	Federación	N	Actividades administrativas y de apoyo a oficinas y empresas	40
2014	Federación	N	Actividades de investigación y seguridad	25
2014	Federación	N	Agencias de viajes, servicios de reservas y actividades conexas	9
2014	Federación	N	Alquiler y arrendamiento	20
2014	Federación	N	Servicios a edificios y actividades de jardinería	25
2014	Federación	N	Servicios de obtención y dotación de personal	17
2014	Federación	P	Enseñanza	542
2014	Federación	Q	Actividades de atención en instituciones	NA
2014	Federación	Q	Actividades de atención sin alojamiento	17
2014	Federación	Q	Servicios de salud humana	136
2014	Federación	R	Actividades deportivas, recreativas y de entretenimiento	6
2014	Federación	R	Juegos de azar y apuestas	4
2014	Federación	R	Servicios artísticos y de espectáculos	NA
2014	Federación	R	Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.	5
2014	Federación	S	Otros servicios personales	18
2014	Federación	S	Reparación de computadoras y equipos de uso doméstico	NA
2014	Federación	S	Servicios de asociaciones	164
2014	Federal	Otro	Otros sectores	14
2014	Federal	A	Agricultura, ganadería, caza y servicios relacionados	754
2014	Federal	A	Pesca y acuicultura	NA
2014	Federal	A	Silvicultura y explotación forestal	3
2014	Federal	B	Actividades de apoyo al petróleo y la minería	3
2014	Federal	B	Extracción de carbón y lignito	NA
2014	Federal	B	Extracción de minerales metálicos	NA
2014	Federal	B	Extracción de otros minerales	NA
2014	Federal	C	Elaboracion de productos farmacéuticos	NA
2014	Federal	C	Elaboración de bebidas	3
2014	Federal	C	Elaboración de prendas de vestir	6
2014	Federal	C	Elaboración de productos alimenticios	38
2014	Federal	C	Elaboración de productos de madera	8
2014	Federal	C	Elaboración de productos de papel	NA
2014	Federal	C	Elaboración de productos textiles	NA
2014	Federal	C	Fabricación de equipo eléctrico	4
2014	Federal	C	Fabricación de maquinarias	NA
2014	Federal	C	Fabricación de metales comunes	NA
2014	Federal	C	Fabricación de muebles	NA
2014	Federal	C	Fabricación de productos de caucho y vidrio	NA
2014	Federal	C	Fabricación de productos de refinación de petróleo	NA
2014	Federal	C	Fabricación de productos de vidrio y otros minerales no metálicos	4
2014	Federal	C	Fabricación de productos elaborados del metal, excepto maquinaria y equipo	9
2014	Federal	C	Fabricación de sustancias químicas	3
2014	Federal	C	Fabricación de vehículos automotores, remolques y semirremolques	20
2014	Federal	C	Imprentas y editoriales	NA
2014	Federal	C	Otras industrias manufactureras	NA
2014	Federal	D	Suministro de electricidad, gas, vapor y aire acondicionado	4
2014	Federal	E	Captación, tratamiento y distribución de agua	NA
2014	Federal	E	Recogida, tratamiento y eliminación de desechos; recuperación de materiales	NA
2014	Federal	F	Actividades especializadas de construcción 	16
2014	Federal	F	Construcción de edificios y partes	40
2014	Federal	F	Obras de ingeniería civil	121
2014	Federal	G	Comercio al por mayor excepto autos y motos	168
2014	Federal	G	Comercio al por mayor y al por menor y reparación de vehículos automotores y motos	23
2014	Federal	G	Comercio al por menor excepto autos y motos	234
2014	Federal	H	Almacenamiento y actividades de apoyo al transporte	5
2014	Federal	H	Servicio de correo y mensajería	8
2014	Federal	H	Transporte terrestre y por tuberías	61
2014	Federal	I	Servicios de alojamiento	4
2014	Federal	I	Servicios de expendio de alimentos y bebidas	17
2014	Federal	J	Programación y transmisiones de TV y radio	10
2014	Federal	J	Servicios de programación, consultoría informática y actividades conexas	5
2014	Federal	J	Telecomunicaciones	NA
2014	Federal	K	Servicios auxiliares de la actividad financiera y de seguros	3
2014	Federal	K	Servicios de seguros, reaseguros y pensiones	9
