fecha,clae2,w_median
2007-10-01,56,1116
2007-10-01,58,2050
2007-10-01,59,1687
2007-10-01,60,2550
2007-10-01,61,2919
2007-10-01,62,2484
2007-10-01,63,1994
2007-10-01,64,3074
2007-10-01,65,2298
2007-10-01,66,1539
2007-10-01,68,1428
2007-10-01,69,1372
2007-10-01,70,1382
2007-10-01,71,1408
2007-10-01,72,2125
2007-10-01,73,1594
2007-10-01,74,1207
2007-10-01,75,1022
2007-10-01,77,1860
2007-10-01,78,1338
2007-10-01,79,1482
2007-10-01,80,1337
2007-10-01,81,1072
2007-10-01,82,1325
2007-10-01,85,1069
2007-10-01,86,1580
2007-10-01,87,1282
2007-10-01,88,1283
2007-10-01,90,1063
2007-10-01,91,1371
2007-10-01,92,1795
2007-10-01,93,1369
2007-10-01,94,1669
2007-10-01,95,1372
2007-10-01,96,1036
2007-10-01,999,1393
2007-11-01,1,1082
2007-11-01,2,985
2007-11-01,3,2137
2007-11-01,5,1598
2007-11-01,6,7194
2007-11-01,7,3405
2007-11-01,8,1800
2007-11-01,9,4943
2007-11-01,10,1756
2007-11-01,11,2277
2007-11-01,12,2617
2007-11-01,13,1547
2007-11-01,14,1335
2007-11-01,15,1542
2007-11-01,16,1285
2007-11-01,17,2158
2007-11-01,18,1721
2007-11-01,19,2871
2007-11-01,20,2355
2007-11-01,21,3308
2007-11-01,22,1975
2007-11-01,23,1891
2007-11-01,24,2906
2007-11-01,25,1608
2007-11-01,26,2029
2007-11-01,27,1812
2007-11-01,28,1886
2007-11-01,29,2676
2007-11-01,30,1629
2007-11-01,31,1429
2007-11-01,32,1554
2007-11-01,33,1704
2007-11-01,35,3438
2007-11-01,36,2140
2007-11-01,37,1805
2007-11-01,38,2634
2007-11-01,39,1602
2007-11-01,41,1274
2007-11-01,42,1878
2007-11-01,43,1423
2007-11-01,45,1544
2007-11-01,46,1538
2007-11-01,47,1485
2007-11-01,49,2316
2007-11-01,50,3572
2007-11-01,51,2949
2007-11-01,52,1776
2007-11-01,53,2050
2007-11-01,55,1612
2007-11-01,56,1120
2007-11-01,58,2025
2007-11-01,59,1704
2007-11-01,60,2581
2007-11-01,61,3095
2007-11-01,62,2500
2007-11-01,63,2032
2007-11-01,64,3109
2007-11-01,65,2312
2007-11-01,66,1595
2007-11-01,68,1451
2007-11-01,69,1420
2007-11-01,70,1405
2007-11-01,71,1449
2007-11-01,72,2167
2007-11-01,73,1608
2007-11-01,74,1236
2007-11-01,75,1009
2007-11-01,77,1868
2007-11-01,78,1160
2007-11-01,79,1536
2007-11-01,80,1324
2007-11-01,81,1070
2007-11-01,82,1346
2007-11-01,85,1085
2007-11-01,86,1573
2007-11-01,87,1273
2007-11-01,88,1298
2007-11-01,90,870
2007-11-01,91,1362
2007-11-01,92,1788
2007-11-01,93,1386
2007-11-01,94,1653
2007-11-01,95,1409
2007-11-01,96,1043
2007-11-01,999,1433
2007-12-01,1,1669
2007-12-01,2,1466
2007-12-01,3,3845
2007-12-01,5,2317
2007-12-01,6,10000
2007-12-01,7,6129
2007-12-01,8,2850
2007-12-01,9,7500
2007-12-01,10,2676
2007-12-01,11,3479
2007-12-01,12,3826
2007-12-01,13,2500
2007-12-01,14,2027
2007-12-01,15,2544
2007-12-01,16,1976
2007-12-01,17,3429
2007-12-01,18,2586
2007-12-01,19,4593
2007-12-01,20,3660
2007-12-01,21,5094
2007-12-01,22,3133
2007-12-01,23,2923
2007-12-01,24,4706
2007-12-01,25,2517
2007-12-01,26,3200
2007-12-01,27,2911
2007-12-01,28,3083
2007-12-01,29,4361
2007-12-01,30,2442
2007-12-01,31,2192
2007-12-01,32,2602
2007-12-01,33,2533
2007-12-01,35,4965
2007-12-01,36,3282
2007-12-01,37,2642
2007-12-01,38,3750
2007-12-01,39,2498
2007-12-01,41,1674
2007-12-01,42,2694
2007-12-01,43,2008
2007-12-01,45,2307
2007-12-01,46,2304
2007-12-01,47,2200
2007-12-01,49,3410
2007-12-01,50,5024
2007-12-01,51,4315
2007-12-01,52,2583
2007-12-01,53,2854
2007-12-01,55,2253
2007-12-01,56,1522
2007-12-01,58,3106
2007-12-01,59,2242
2007-12-01,60,3968
2007-12-01,61,4288
2007-12-01,62,3616
2007-12-01,63,3001
2007-12-01,64,4820
2007-12-01,65,3548
2007-12-01,66,2362
2007-12-01,68,2166
2007-12-01,69,1992
2007-12-01,70,2030
2007-12-01,71,2037
2007-12-01,72,3089
2007-12-01,73,2339
2007-12-01,74,1548
2007-12-01,75,1514
2007-12-01,77,2734
2007-12-01,78,1752
2007-12-01,79,2269
2007-12-01,80,1847
2007-12-01,81,1421
2007-12-01,82,1895
2007-12-01,85,1525
2007-12-01,86,2559
2007-12-01,87,2138
2007-12-01,88,1943
2007-12-01,90,1103
2007-12-01,91,2004
2007-12-01,92,2660
2007-12-01,93,1938
2007-12-01,94,2522
2007-12-01,95,2013
2007-12-01,96,1483
2007-12-01,999,2069
2008-01-01,1,1187
2008-01-01,2,1050
2008-01-01,3,2249
2008-01-01,5,1954
2008-01-01,6,8352
2008-01-01,7,3674
2008-01-01,8,1894
2008-01-01,9,5233
2008-01-01,10,1810
2008-01-01,11,2462
2008-01-01,12,2705
2008-01-01,13,1577
2008-01-01,14,1365
2008-01-01,15,1720
2008-01-01,16,1362
2008-01-01,17,2376
2008-01-01,18,1870
2008-01-01,19,3524
2008-01-01,20,2650
2008-01-01,21,3613
2008-01-01,22,2189
2008-01-01,23,2019
2008-01-01,24,3250
2008-01-01,25,1806
2008-01-01,26,2050
2008-01-01,27,1977
2008-01-01,28,2063
2008-01-01,29,2984
2008-01-01,30,1734
2008-01-01,31,1583
2008-01-01,32,1709
2008-01-01,33,1898
2008-01-01,35,3922
2008-01-01,36,2316
2008-01-01,37,1937
2008-01-01,38,2767
2008-01-01,39,1746
2008-01-01,41,1299
2008-01-01,42,1968
2008-01-01,43,1532
2008-01-01,45,1647
2008-01-01,46,1645
2008-01-01,47,1551
2008-01-01,49,2419
2008-01-01,50,3946
2008-01-01,51,3233
2008-01-01,52,1876
2008-01-01,53,2092
2008-01-01,55,1612
2008-01-01,56,1164
2008-01-01,58,2206
2008-01-01,59,1833
2008-01-01,60,2861
2008-01-01,61,3352
2008-01-01,62,2648
2008-01-01,63,2107
2008-01-01,64,3754
2008-01-01,65,2573
2008-01-01,66,1701
2008-01-01,68,1527
2008-01-01,69,1441
2008-01-01,70,1476
2008-01-01,71,1537
2008-01-01,72,2380
2008-01-01,73,1803
2008-01-01,74,1290
2008-01-01,75,1081
2008-01-01,77,1902
2008-01-01,78,1460
2008-01-01,79,1614
2008-01-01,80,1347
2008-01-01,81,1062
2008-01-01,82,1458
2008-01-01,85,1104
2008-01-01,86,1863
2008-01-01,87,1524
2008-01-01,88,1401
2008-01-01,90,1440
2008-01-01,91,1434
2008-01-01,92,1786
2008-01-01,93,1458
2008-01-01,94,1741
2008-01-01,95,1461
2008-01-01,96,1096
2008-01-01,999,1545
2008-02-01,1,1192
2008-02-01,2,1073
2008-02-01,3,2138
2008-02-01,5,1645
2008-02-01,6,7887
2008-02-01,7,3580
2008-02-01,8,1894
2008-02-01,9,5280
2008-02-01,10,1803
2008-02-01,11,2277
2008-02-01,12,2079
2008-02-01,13,1610
2008-02-01,14,1360
2008-02-01,15,1632
2008-02-01,16,1352
2008-02-01,17,2257
2008-02-01,18,1862
2008-02-01,19,3048
2008-02-01,20,2538
2008-02-01,21,3355
2008-02-01,22,2125
2008-02-01,23,1932
2008-02-01,24,3004
2008-02-01,25,1636
2008-02-01,26,2039
2008-02-01,27,1854
2008-02-01,28,1940
2008-02-01,29,2699
2008-02-01,30,1676
2008-02-01,31,1555
2008-02-01,32,1684
2008-02-01,33,1801
2008-02-01,35,3708
2008-02-01,36,2289
2008-02-01,37,1994
2008-02-01,38,2684
2008-02-01,39,1819
2008-02-01,41,1277
2008-02-01,42,1967
2008-02-01,43,1492
2008-02-01,45,1695
2008-02-01,46,1707
2008-02-01,47,1596
2008-02-01,49,2480
2008-02-01,50,3746
2008-02-01,51,3132
2008-02-01,52,1936
2008-02-01,53,2147
2008-02-01,55,1617
2008-02-01,56,1129
2008-02-01,58,2139
2008-02-01,59,1789
2008-02-01,60,2731
2008-02-01,61,3120
2008-02-01,62,2670
2008-02-01,63,2387
2008-02-01,64,3659
2008-02-01,65,2498
2008-02-01,66,1737
2008-02-01,68,1549
2008-02-01,69,1453
