fecha,clae6,puestos
2007-01-01,854960,349
2007-01-01,854990,6524
2007-01-01,855000,359
2007-01-01,861010,55898
2007-01-01,861020,2890
2007-01-01,862110,5231
2007-01-01,862120,587
2007-01-01,862130,1006
2007-01-01,862200,6233
2007-01-01,863110,5574
2007-01-01,863120,5814
2007-01-01,863190,2766
2007-01-01,863200,7541
2007-01-01,863300,5628
2007-01-01,864000,10997
2007-01-01,869010,507
2007-01-01,869090,63121
2007-01-01,870100,797
2007-01-01,870210,14058
2007-01-01,870220,2488
2007-01-01,870910,756
2007-01-01,870920,306
2007-01-01,870990,876
2007-01-01,880000,1969
2007-01-01,900011,1891
2007-01-01,900021,535
2007-01-01,900030,512
2007-01-01,900040,-99
2007-01-01,900091,283
2007-01-01,910100,747
2007-01-01,910200,247
2007-01-01,910300,976
2007-01-01,910900,526
2007-01-01,920001,2816
2007-01-01,920009,25577
2007-01-01,931010,20080
2007-01-01,931020,2076
2007-01-01,931030,129
2007-01-01,931041,33
2007-01-01,931042,762
2007-01-01,931050,595
2007-01-01,931090,634
2007-01-01,939010,1176
2007-01-01,939020,1460
2007-01-01,939030,2684
2007-01-01,939090,3851
2007-01-01,941100,5076
2007-01-01,941200,4641
2007-01-01,942000,24395
2007-01-01,949100,34778
2007-01-01,949200,176
2007-01-01,949910,5929
2007-01-01,949920,55213
2007-01-01,949930,1229
2007-01-01,949990,74252
2007-01-01,951100,1443
2007-01-01,951200,909
2007-01-01,952100,2126
2007-01-01,952200,341
2007-01-01,952300,171
2007-01-01,952910,392
2007-01-01,952920,243
2007-01-01,952990,1028
2007-01-01,960101,301
2007-01-01,960102,4945
2007-01-01,960201,9666
2007-01-01,960202,1800
2007-01-01,960300,4978
2007-01-01,960910,1058
2007-01-01,960990,60342
2007-01-01,999999,13342
2007-02-01,11111,2727
2007-02-01,11112,4383
2007-02-01,11119,21135
2007-02-01,11121,2164
2007-02-01,11129,1144
2007-02-01,11130,440
2007-02-01,11211,25848
2007-02-01,11291,466
2007-02-01,11299,10460
2007-02-01,11310,2779
2007-02-01,11321,710
2007-02-01,11329,3450
2007-02-01,11331,4321
2007-02-01,11341,332
2007-02-01,11342,1032
2007-02-01,11400,19490
2007-02-01,11501,4501
2007-02-01,11509,5
2007-02-01,11911,803
2007-02-01,11912,1250
2007-02-01,11990,514
2007-02-01,12110,22864
2007-02-01,12121,586
2007-02-01,12200,5347
2007-02-01,12311,25201
2007-02-01,12319,1033
2007-02-01,12320,3558
2007-02-01,12410,182
2007-02-01,12420,635
2007-02-01,12490,9425
2007-02-01,12510,3279
2007-02-01,12590,-99
2007-02-01,12600,1997
2007-02-01,12701,3388
2007-02-01,12709,400
2007-02-01,12800,142
2007-02-01,12900,620
2007-02-01,13011,1120
2007-02-01,13012,423
2007-02-01,13013,270
2007-02-01,13019,1282
2007-02-01,13020,1015
2007-02-01,14113,58396
2007-02-01,14114,5876
2007-02-01,14115,1657
2007-02-01,14121,1008
2007-02-01,14211,375
2007-02-01,14221,1324
2007-02-01,14410,3963
2007-02-01,14420,35
2007-02-01,14430,49
2007-02-01,14440,-99
2007-02-01,14510,1953
2007-02-01,14520,125
2007-02-01,14610,10895
2007-02-01,14620,40
2007-02-01,14710,479
2007-02-01,14720,22
2007-02-01,14810,3418
2007-02-01,14820,3990
2007-02-01,14910,909
2007-02-01,14920,17
2007-02-01,14930,100
2007-02-01,14990,562
2007-02-01,16111,2279
2007-02-01,16112,1143
2007-02-01,16113,467
2007-02-01,16119,2124
2007-02-01,16120,3908
2007-02-01,16130,5919
2007-02-01,16140,338
2007-02-01,16150,98
2007-02-01,16190,4434
2007-02-01,16210,170
2007-02-01,16220,348
2007-02-01,16230,4
2007-02-01,16291,714
2007-02-01,16292,339
2007-02-01,16299,813
2007-02-01,17010,43
2007-02-01,17020,44
2007-02-01,21010,1024
2007-02-01,21020,178
2007-02-01,21030,332
2007-02-01,22010,2745
2007-02-01,22020,1850
2007-02-01,24010,2846
2007-02-01,24020,1875
2007-02-01,31110,5970
2007-02-01,31120,9192
2007-02-01,31130,120
2007-02-01,31200,323
2007-02-01,31300,285
2007-02-01,32000,129
